perturbation,e_distance,e_pval,n_cells,n_technical_replicates,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates
EGR2_1,,,29,6,0.5918367346817993,dropped_low_cells_possible_depletion,,False,,,False,True,False
EGR3_2,,,12,5,0.2448979591786755,dropped_low_cells_possible_depletion,,True,,,False,False,False
EGR4_3,,,26,6,0.5306122448871304,dropped_low_cells_possible_depletion,,False,,,False,True,False
ETS1_2,,,10,4,0.2040816326488963,dropped_low_cells_possible_depletion,,True,,,False,False,False
ETS1_3,,,3,2,0.0612244897946688,dropped_low_cells_possible_depletion,,True,,,False,False,False
GATA3_1,,,28,6,0.5714285714169096,dropped_low_cells_possible_depletion,,False,1.675178540554143,,False,True,False
GATA3_2,,,18,6,0.3673469387680133,dropped_low_cells_possible_depletion,,True,0.9207665811232676,,False,False,False
GATA3_3,,,18,6,0.3673469387680133,dropped_low_cells_possible_depletion,,True,1.0655405434016374,,False,False,False
LCK_1,,,26,6,0.5306122448871304,dropped_low_cells_possible_depletion,,False,,,False,True,False
LCK_2,,,24,6,0.4897959183573511,dropped_low_cells_possible_depletion,,True,,,False,False,False
LCK_3,,,25,5,0.5102040816222407,dropped_low_cells_possible_depletion,,False,,,False,True,False
MVD_1,,,16,4,0.3265306122382341,dropped_low_cells_possible_depletion,,True,,,False,False,False
MVD_2,,,18,6,0.3673469387680133,dropped_low_cells_possible_depletion,,True,,,False,False,False
MVD_3,,,20,5,0.4081632652977926,dropped_low_cells_possible_depletion,,True,,,False,False,False
NFAT5_1,,,17,5,0.3469387755031237,dropped_low_cells_possible_depletion,,True,,,False,False,False
NFATC3_3,,,19,5,0.387755102032903,dropped_low_cells_possible_depletion,,True,,,False,False,False
PTPN11_3,,,23,6,0.4693877550924615,dropped_low_cells_possible_depletion,,True,,,False,False,False
RELA_1,,,26,6,0.5306122448871304,dropped_low_cells_possible_depletion,,False,,,False,True,False
RELA_2,,,5,3,0.1020408163244481,dropped_low_cells_possible_depletion,,True,,,False,False,False
RUNX1_1,,,20,5,0.4081632652977926,dropped_low_cells_possible_depletion,,True,,,False,False,False
RUNX1_2,,,13,6,0.2653061224435652,dropped_low_cells_possible_depletion,,True,,,False,False,False
RUNX1_3,,,17,6,0.3469387755031237,dropped_low_cells_possible_depletion,,True,,,False,False,False
TUBB_1,,,3,2,0.0612244897946688,dropped_low_cells_possible_depletion,,True,,,False,False,False
TUBB_2,,,5,4,0.1020408163244481,dropped_low_cells_possible_depletion,,True,,,False,False,False
TUBB_3,,,10,5,0.2040816326488963,dropped_low_cells_possible_depletion,,True,,,False,False,False
