perturbation,e_distance,e_pval,n_cells,n_donors,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates,n_signif_kd,n_guides_kd,kd_confirmed,best_kd_rank,kd_gated_hit,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor,direction_tier
TFAM,10.73290189520624,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,11122.0,True,0.0329796318368635,False,2,-0.0734;0.1393,neutral
UBE2I,10.676587075723212,0.0009990009990009,138,2,0.633027522932876,,0.0011657389743494,False,,,True,True,True,2,2,True,12360.0,True,0.1246098368533044,False,2,0.2906;-0.0414,brake
PIGN,10.625974750963344,0.0009990009990009,277,2,1.2706422018290338,,0.0011657389743494,False,,,True,True,True,2,2,True,8811.0,True,0.0418018380418018,True,2,0.0679;0.0157,neutral
BEGAIN,10.587074511294638,0.0009990009990009,214,2,0.981651376142286,,0.0011657389743494,False,,,True,True,True,1,2,True,2549.0,True,-0.1390524208366071,True,2,-0.0493;-0.2288,enhancer
EXTL2,10.587065886287624,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,0.0719448755200736,True,True,True,True,2,2,True,3796.0,True,-0.0550903930715634,True,2,-0.0493;-0.0609,enhancer
HIST1H4B,10.569323699916003,0.0009990009990009,142,2,0.6513761467860029,,0.0011657389743494,False,,,True,True,True,1,2,True,2724.0,True,-0.1798601498202146,True,2,-0.2990;-0.0607,required-machinery
TAF6L,10.521785345768592,0.0009990009990009,244,2,1.1192660550407374,,0.0011657389743494,False,,,True,True,True,2,2,True,5037.0,True,0.1105757237869502,True,2,0.0134;0.2078,brake
PAPOLA,10.360630310382255,0.0009990009990009,135,2,0.6192660550430309,,0.0011657389743494,False,,,True,True,True,2,2,True,10817.0,True,-0.3618524495959113,True,2,-0.0875;-0.6362,required-machinery
TXLNB,10.348036057964464,0.0009990009990009,220,2,1.0091743119219765,,0.0011657389743494,False,,,True,True,True,2,2,True,2017.0,True,0.3542113732429367,True,2,0.0879;0.6206,brake
CD244,10.313182098154051,0.0009990009990009,296,2,1.3577981651313864,,0.0011657389743494,False,,,True,True,True,2,2,True,1859.0,True,0.1408829364478283,False,2,-0.0373;0.3190,brake
NIPBL,10.297211222593836,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,9766.0,True,0.0791692364489314,True,2,0.1172;0.0412,brake
FKRP,10.14589274883064,0.0009990009990009,205,2,0.9403669724727508,,0.0011657389743494,False,,,True,True,True,1,2,True,5141.0,True,0.1267377662227339,True,2,0.1598;0.0937,brake
SYVN1,10.110303975956,0.0009990009990009,219,2,1.0045871559586943,,0.0011657389743494,False,,,True,True,True,2,2,True,6645.0,True,-0.1875764889043363,True,2,-0.3047;-0.0705,enhancer
IRF4,10.05998488284203,0.0009990009990009,126,2,0.5779816513734956,,0.0011657389743494,False,0.2773681904948147,True,True,True,True,2,2,True,12525.0,True,-0.0668745853412957,False,2,-0.2259;0.0921,required-machinery
TADA1,10.021563161669285,0.0009990009990009,121,2,0.555045871557087,,0.0011657389743494,False,,,True,True,True,2,2,True,5664.0,True,0.0570788591029326,True,2,0.0614;0.0527,brake
SINHCAF,9.987501275164902,0.0009990009990009,273,2,1.252293577975907,,0.0011657389743494,False,,,True,True,True,2,2,True,7604.0,True,-0.2095257295314716,True,2,-0.3534;-0.0657,enhancer
NSD1,9.856588071348945,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,11709.0,True,-0.1460055550807513,True,2,-0.0783;-0.2137,enhancer
XRRA1,9.794912894834638,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,5548.0,True,-0.2610211326052236,True,2,-0.2396;-0.2824,enhancer
GPR108,9.79208580381384,0.0009990009990009,247,2,1.1330275229305824,,0.0011657389743494,False,,,True,True,True,2,2,True,9786.0,True,-0.007018920162776,False,2,-0.0328;0.0188,neutral
