perturbation,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor
ARL2,-0.27492977943108493,True,2,-0.1067;-0.4432
PSMC6,-0.27458412423857803,True,1,-0.2746
PFDN2,-0.27413426026092447,True,2,-0.2055;-0.3428
LSR,-0.273913200116211,True,2,-0.3198;-0.2281
ZMYM1,-0.2733543754192099,True,2,-0.1904;-0.3563
EME2,-0.27314865325810095,True,2,-0.4300;-0.1163
ZNF207,-0.2727797008981602,True,2,-0.3185;-0.2271
DDX42,-0.27222144864239517,True,2,-0.2301;-0.3144
SDHB,-0.2714998085221468,True,2,-0.4367;-0.1063
INPP1,-0.2713413618900595,False,2,0.0486;-0.5913
HIST2H3C,-0.27083640813878807,True,2,-0.3213;-0.2204
ZNF112,-0.2708219432376413,True,1,-0.2708
PPP4R2,-0.27045199604935816,True,2,-0.1855;-0.3554
OCRL,-0.2702957931178572,True,2,-0.0497;-0.4909
POLDIP3,-0.2698889610632211,True,2,-0.4344;-0.1054
MFSD3,-0.26981395544135606,True,2,-0.1827;-0.3569
CLASRP,-0.269738785975015,True,2,-0.2357;-0.3038
SECISBP2,-0.26933086469334794,True,2,-0.2338;-0.3049
HARS2,-0.2692265768809048,True,2,-0.2822;-0.2563
HSD17B12,-0.26881201559187895,True,2,-0.2833;-0.2543
PPP4C,-0.26857999964252427,True,2,-0.4651;-0.0720
EIF4G2,-0.2681000344825049,True,2,-0.4350;-0.1012
LRBA,-0.2674006510491093,True,2,-0.1434;-0.3914
GON7,-0.26715907966782404,True,2,-0.2659;-0.2684
TXNRD2,-0.2670634972277459,True,2,-0.4179;-0.1162
KIAA1324L,-0.2670107981935193,True,2,-0.4047;-0.1294
PDCD2,-0.26679352776110427,False,2,-0.7228;0.1893
PSMC4,-0.2662101787217248,True,1,-0.2662
NET1,-0.2660194043841637,True,2,-0.1133;-0.4187
PDCL3,-0.2657467118393483,True,2,-0.3229;-0.2086
METTL2B,-0.26569190126647874,True,2,-0.3816;-0.1498
ACTR2,-0.2656312020998923,True,2,-0.4630;-0.0683
KYAT1,-0.2651219569063981,True,2,-0.1060;-0.4243
PAIP1,-0.2649213110707104,True,2,-0.3399;-0.1899
APBB1IP,-0.26392424170128237,True,2,-0.5078;-0.0200
GPN1,-0.2637520239847658,True,2,-0.2851;-0.2424
SETX,-0.26358696273311993,True,2,-0.2652;-0.2620
DDX51,-0.26357923240739994,True,2,-0.3215;-0.2057
CDK12,-0.262519384269427,True,2,-0.4095;-0.1155
YY2,-0.2625116697786785,True,2,-0.2396;-0.2854
ZC3H8,-0.2620155013524735,True,2,-0.3548;-0.1692
FDPS,-0.26143387095561454,True,1,-0.2614
TBXA2R,-0.26136174275027296,True,2,-0.2542;-0.2685
SNAP29,-0.26129314270390747,True,2,-0.3049;-0.2177
XRRA1,-0.2610211326052236,True,2,-0.2396;-0.2824
SPHK1,-0.26092677661589797,True,2,-0.1739;-0.3479
CLDN7,-0.26046038180479997,True,2,-0.3529;-0.1680
NUP188,-0.2601142822610288,True,2,-0.3015;-0.2187
ZFHX2,-0.25989791180804295,True,2,-0.2505;-0.2693
MYC,-0.2598586547493461,False,2,-0.5569;0.0372
ATP8B1,-0.259126058146349,True,2,-0.0266;-0.4916
NCBP3,-0.25893295880160644,True,2,-0.1062;-0.4117
RBBP5,-0.25888091155439125,True,2,-0.3162;-0.2016
EML2,-0.2588093508713141,True,2,-0.2703;-0.2473
SLC17A9,-0.25838705041227916,True,2,-0.1030;-0.4137
RPF2,-0.25785472452489144,True,1,-0.2579
PHYKPL,-0.2576490444181286,True,2,-0.5128;-0.0025
OTX1,-0.2576144980045124,True,2,-0.1389;-0.3763
LAMTOR5,-0.25760086844997426,True,2,-0.1520;-0.3633
CLIP1,-0.2571360819999623,True,2,-0.3047;-0.2095
NADK2,-0.25710591887320544,True,2,-0.1306;-0.3836
NBAS,-0.2570038854647043,True,1,-0.2570
CD3EAP,-0.25687636791550916,True,2,-0.4848;-0.0290
DOHH,-0.25669934191691807,True,2,-0.3793;-0.1341
ZNF223,-0.2566985738088388,True,2,-0.3980;-0.1154
CTBP1,-0.2561313072308721,True,2,-0.3386;-0.1737
PLIN4,-0.2553885965644118,True,2,-0.1406;-0.3702
KDM1A,-0.25514400011942073,True,2,-0.2456;-0.2647
UQCRFS1,-0.25497424357609605,False,2,-0.6979;0.1879
