gene,ppr,is_seed,is_gated_hit,e_distance,e_qval,degree,enrichment,n_seed_nbrs,seed_weight_sum,seed_neighbors,is_sig_causal
RCC1L,3.743893831474004e-06,False,True,1.684580613262156,0.0011657389743494,13,0.13646781007555933,0,0.0,,True
MVD,3.743878964813722e-06,False,False,6.17536870255141,0.0011657389743494,31,0.057228209234407426,0,0.0,,True
CCDC74B,3.740838783342268e-06,False,False,,,21,0.08441113647021747,0,0.0,,False
HTR1F,3.7400894284673434e-06,False,False,,,17,0.10425169273961973,0,0.0,,False
PDCD5,3.736677289288606e-06,False,True,2.861312292074942,0.0011657389743494,29,0.06105730690697582,0,0.0,,True
HACD4,3.736198896368688e-06,False,True,5.436827694779112,0.0011657389743494,12,0.14753626741943887,0,0.0,,True
DEDD,3.735253215156523e-06,False,True,2.6666047794925944,0.0011657389743494,7,0.25285529836201,0,0.0,,True
POP4,3.7346454786719498e-06,False,False,4.842808191337156,0.0011657389743494,28,0.06320353951869608,0,0.0,,True
CELF2,3.729887186925635e-06,False,True,1.3461538461538467,0.0011657389743494,5,0.35348886847931626,0,0.0,,True
DGKD,3.729473195621547e-06,False,True,0.7724493496841234,0.0011657389743494,15,0.11781654456514842,0,0.0,,True
IGKV2-40,3.7286270599882865e-06,False,False,,,9,0.19631635762733882,0,0.0,,False
FBXW9,3.7253379012652745e-06,False,True,1.74952040133779,0.0011657389743494,6,0.2942147696489272,0,0.0,,True
CCDC22,3.72481863772273e-06,False,True,1.540712671869194,0.0011657389743494,19,0.09289697682480488,0,0.0,,True
DXO,3.724125814149723e-06,False,True,4.176615486892999,0.0011657389743494,17,0.10380672107605811,0,0.0,,True
PITX2,3.7240758321189353e-06,False,False,0.8133249943034571,0.0011657389743494,17,0.10380532787105169,0,0.0,,True
NSUN5,3.7240077919466866e-06,False,True,2.026385144775894,0.0011657389743494,20,0.08823291661459284,0,0.0,,True
SSBP4,3.722184746625047e-06,False,True,1.6370112969156452,0.0011657389743494,12,0.14698287200297872,0,0.0,,True
CRISP2,3.721978373640286e-06,False,False,,,3,0.5878988907110619,0,0.0,,False
YRDC,3.720517955169949e-06,False,False,2.587394330929492,0.0033107707436469,14,0.12592890273120227,0,0.0,,True
CLEC2D,3.7167049227038088e-06,False,True,1.0539505701429237,0.0011657389743494,2,0.8805988973362134,0,0.0,,True
EPHA8,3.7133309093464427e-06,False,False,,,12,0.1466332487252421,0,0.0,,False
ERN2,3.7129009927595267e-06,False,False,,,5,0.35187905288580584,0,0.0,,False
PCDH15,3.7127647675963527e-06,False,False,,,22,0.07996957785332762,0,0.0,,False
CLEC2A,3.712754477541056e-06,False,False,,,3,0.5864419455758683,0,0.0,,False
MIS18A,3.710964833502627e-06,False,False,,,22,0.0799308089092525,0,0.0,,False
E5RI56_HUMAN,3.709647400774476e-06,False,False,,,8,0.21973168966637416,0,0.0,,False
ISYNA1,3.7089263792369556e-06,False,True,2.17183974645787,0.0011657389743494,10,0.17575118540652238,0,0.0,,True
CTRB1,3.7072832849524547e-06,False,False,,,31,0.056668814755082904,0,0.0,,False
ENSP00000499734,3.7060841901234983e-06,False,False,,,15,0.11707767028879473,0,0.0,,False
CTSZ,3.7055307721457487e-06,False,True,4.168875723860651,0.0011657389743494,12,0.14632523430741537,0,0.0,,True
TBCA,3.7045611443803357e-06,False,False,3.4321181768770828,0.0011657389743494,15,0.1170295562584044,0,0.0,,True
EIPR1,3.7039454618372424e-06,False,False,1.907455917312028,0.0011657389743494,6,0.29252526609103263,0,0.0,,True
CLSTN1,3.7032695290998187e-06,False,True,1.0545889632106906,0.0011657389743494,7,0.2506901855798914,0,0.0,,True
COX7B2,3.702467190233303e-06,False,False,,,33,0.053165184932241,0,0.0,,False
FCRL2,3.7021162897748537e-06,False,False,,,2,0.8771424125363562,0,0.0,,False
TMBIM4,3.6970500215855107e-06,False,False,4.989059534741358,0.0011657389743494,9,0.19465379146983447,0,0.0,,True
PIEZO1,3.6970226866459417e-06,False,True,2.8850385835796573,0.0011657389743494,10,0.1751871170294046,0,0.0,,True
MTIF3,3.697009289656577e-06,False,True,2.125538965774936,0.0011657389743494,38,0.04610170584201751,0,0.0,,True
NUDT9,3.6955518380017926e-06,False,True,0.9260630065381364,0.0011657389743494,13,0.13470570722734843,0,0.0,,True
RFXANK,3.6937231302449566e-06,False,True,0.8540034931252336,0.0011657389743494,12,0.14585897020815625,0,0.0,,True
PPIL3,3.6933234981012177e-06,False,True,0.2951917453371919,0.009594100274201,24,0.07292159470042679,0,0.0,,True
NDUFAF2,3.692097082506207e-06,False,True,1.7118770017703395,0.0011657389743494,60,0.029158952058606524,0,0.0,,True
FLII,3.6904825971626193e-06,False,True,1.9433555178511668,0.0011657389743494,10,0.17487720834914788,0,0.0,,True
CCT8L2,3.6904289868832425e-06,False,False,,,14,0.12491047712317808,0,0.0,,False
SPTBN4,3.6894701577448605e-06,False,False,,,23,0.07601270995430345,0,0.0,,False
CCDC130,3.6850502072598905e-06,False,False,,,8,0.21827473640152148,0,0.0,,False
MS4A6E,3.6847991174396185e-06,False,False,,,7,0.24943984425570537,0,0.0,,False
MRTFB,3.6832044113509496e-06,False,False,4.205012310644179,0.0011657389743494,5,0.3490646484725522,0,0.0,,True
FBXO31,3.6829889779922363e-06,False,True,4.434143162916556,0.0011657389743494,4,0.4363052892778503,0,0.0,,True
DRG2,3.6818597643899926e-06,False,True,1.9983205651178937,0.0011657389743494,26,0.067103310305917,0,0.0,,True
NXF2,3.681507918343975e-06,False,False,,,10,0.1744519342186476,0,0.0,,False
FGFRL1,3.6798344454449386e-06,False,True,0.5635164494103009,0.0054236631035567,18,0.0968736861288077,0,0.0,,True
MMP16,3.679520805983854e-06,False,False,,,12,0.14529814409362574,0,0.0,,False
NSL1,3.6765367303701207e-06,False,False,,,19,0.09169282605543082,0,0.0,,False
CDH10,3.6759914131068114e-06,False,False,,,19,0.09167922584288388,0,0.0,,False
MTNR1A,3.6753165000328936e-06,False,False,,,14,0.12439896262182763,0,0.0,,False
WNT2B,3.673348300973773e-06,False,False,0.4986073206986248,0.0022473347284046,31,0.05615009115804619,0,0.0,,True
PPT1,3.672183617598322e-06,False,True,0.8444723522853934,0.0011657389743494,20,0.08700504645175704,0,0.0,,True
CARMIL1,3.6712318148827346e-06,False,True,1.0711821377839923,0.0011657389743494,8,0.21745623847504159,0,0.0,,True
MKKS,3.6698071496978908e-06,False,True,1.9695373131338627,0.0011657389743494,18,0.09660971199754681,0,0.0,,True
KLK11,3.6687459605495816e-06,False,False,,,4,0.4346179902165062,0,0.0,,False
DIO1,3.6685839957060333e-06,False,False,,,10,0.1738395212205261,0,0.0,,False
ACER2,3.6681687101571103e-06,False,False,1.2516124836706126,0.0011657389743494,32,0.05431870078109526,0,0.0,,True
PTX3,3.667955472342079e-06,False,False,,,18,0.09656096556244542,0,0.0,,False
OBSL1,3.667177846259372e-06,False,False,,,8,0.21721611177855826,0,0.0,,False
CDH6,3.6669995109720393e-06,False,False,,,17,0.1022143757805418,0,0.0,,False
FBXO21,3.6659901463683735e-06,False,True,3.075444778892596,0.0011657389743494,4,0.43429152268952936,0,0.0,,True
SPCS2,3.665570539046059e-06,False,False,4.0160688931835935,0.0011657389743494,16,0.10856045347702285,0,0.0,,True
ARHGAP44,3.665196511359827e-06,False,False,,,5,0.3473580037745935,0,0.0,,False
